Category,Vector
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 3. 2.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 9. 4.]
1,[0. 0. 0. 0. 1.]
1,[0. 1. 0. 3. 1.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 6.]
1,[1. 0. 0. 0. 6.]
1,[0. 0. 0. 8. 1.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 2. 0. 6.]
-1,[1.         0.         1.         6.33333333 6.        ]
-1,[ 0.  4. 16.  7.  6.]
1,[ 0.  0.  2.  0. 23.]
1,[0. 0. 0. 0. 0.]
-1,[ 0.  0. 16.  0.  1.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 8. 2.]
1,[0. 0. 0. 0. 1.]
-1,[0. 0. 0. 0. 2.]
1,[ 0.  1.  4. 10.  8.]
-1,[ 0.  3. 22. 17.  2.]
1,[1.   1.   0.   6.75 4.  ]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 5. 3.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 0.]
1,[ 0.  1.  0.  0. 10.]
1,[0. 0. 0. 0. 5.]
1,[ 0.  0.  1. 16. 12.]
1,[0. 0. 1. 0. 1.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 1.]
-1,[0. 1. 4. 0. 4.]
1,[0. 0. 0. 0. 2.]
1,[0.  1.  0.  8.5 1. ]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 7. 2.]
-1,[ 0.   2.  15.   1.2  9. ]
1,[0. 1. 0. 0. 1.]
1,[ 0.  0.  0. 14.  6.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 2. 0. 6.]
1,[0. 1. 0. 0. 2.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 3. 0. 2.]
1,[0.  1.  0.  9.5 5. ]
-1,[ 0.          1.         19.          4.66666667  1.        ]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 1.]
-1,[0. 0. 2. 0. 2.]
-1,[0. 0. 0. 7. 1.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 0.]
1,[0. 1. 0. 0. 5.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 0. 5. 0.]
1,[ 0.  1.  0. 19.  3.]
-1,[ 0.  2. 16.  0.  5.]
1,[ 0.  0.  0. 22.  6.]
-1,[ 0.  2. 33.  6.  5.]
1,[ 0.  1.  0.  0. 12.]
1,[0.         0.         0.         2.66666667 4.        ]
-1,[ 0.  2. 25.  2.  5.]
1,[ 0.  0.  1. 18.  9.]
1,[0. 1. 0. 3. 1.]
1,[0. 1. 0. 9. 1.]
1,[ 0.  0.  0. 21.  4.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  0.  1. 12.  5.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  0.  0. 10.  6.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 0.]
1,[ 0.  0.  0. 24.  2.]
1,[ 0.  0.  0. 22.  3.]
1,[0. 0. 0. 0. 0.]
1,[ 0.  0.  9.  0. 12.]
1,[ 0.   0.   2.   5.5 11. ]
1,[0. 0. 0. 0. 1.]
-1,[ 0.  2. 11.  4.  2.]
1,[0. 0. 1. 0. 1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 3.]
-1,[0. 1. 3. 6. 5.]
-1,[ 0.  2. 30. 12.  6.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 1. 0. 3.]
1,[ 0.  0.  0.  0. 11.]
1,[0. 0. 0. 3. 3.]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 0. 1.]
-1,[ 0.   5.  13.   3.4  7. ]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 1. 0. 1.]
1,[0. 0. 0. 0. 5.]
-1,[ 0.  2. 18.  5.  9.]
1,[0. 0. 0. 7. 6.]
-1,[ 1.  2. 19. 10.  7.]
-1,[ 0.  5. 29.  8.  4.]
1,[0. 0. 1. 2. 1.]
1,[0. 0. 1. 4. 0.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 2.]
1,[ 0.  0.  0. 10.  0.]
1,[ 0.  0.  0. 10.  2.]
1,[ 0.  0.  0.  4. 10.]
1,[0. 0. 0. 0. 2.]
-1,[ 0.   2.  19.   6.5  3. ]
1,[0. 0. 0. 4. 1.]
-1,[0.   0.   6.   3.75 5.  ]
1,[0. 0. 0. 6. 5.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 2. 0. 6.]
1,[ 0.  0.  0. 19.  8.]
1,[0. 1. 0. 0. 0.]
-1,[ 1.          1.         18.          5.33333333 10.        ]
-1,[ 0.  1. 20.  0.  4.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  0.  0.  0. 10.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 2.]
1,[ 0.  0.  0. 16.  6.]
1,[0. 0. 0. 0. 3.]
-1,[ 0.          2.         25.          2.16666667  6.        ]
1,[ 0.  0.  2. 26.  1.]
-1,[ 1.   4.   5.  10.5 13. ]
1,[0. 0. 0. 0. 7.]
1,[0. 0. 0. 0. 2.]
1,[ 0.  0.  0.  0. 14.]
-1,[ 0.  1. 17. 11.  0.]
1,[ 0.  0.  0. 24. 11.]
-1,[ 0.  1. 14.  9.  0.]
-1,[ 0.   4.  25.   3.5  7. ]
1,[ 0.  0.  2. 18.  0.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 2.]
-1,[ 0.   1.  27.   2.5  6. ]
1,[0. 0. 0. 5. 4.]
1,[ 0.   0.   0.  20.5  7. ]
1,[0. 0. 0. 5. 2.]
1,[ 0.  2.  0. 15.  8.]
1,[0. 0. 0. 0. 3.]
-1,[ 0.  2. 24.  4.  9.]
1,[0. 0. 1. 4. 2.]
1,[0. 0. 0. 5. 5.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 1. 0. 3.]
1,[ 0.  1.  0. 19.  2.]
-1,[ 0.  0.  5. 23.  4.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  0.  0. 12.  7.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 0.]
1,[0. 1. 0. 0. 2.]
1,[0. 0. 0. 0. 0.]
1,[0.         0.         0.         5.66666667 3.        ]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 0.]
-1,[ 1.  1. 15. 14.  4.]
1,[0. 0. 0. 9. 1.]
-1,[ 0.  1. 34.  1.  9.]
-1,[ 0.  0.  0. 23.  4.]
-1,[ 0.  4. 14. 23.  4.]
1,[0. 1. 0. 0. 2.]
1,[0. 0. 0. 0. 8.]
1,[0.  0.  0.  3.5 0. ]
1,[ 0.  0.  0. 15.  2.]
1,[ 0.   0.   0.   0.5 19. ]
-1,[ 0.   2.  28.   1.8  7. ]
1,[0. 0. 0. 0. 1.]
-1,[0.         2.         8.         4.66666667 5.        ]
-1,[ 0.    1.   12.    5.25  3.  ]
-1,[ 0.  1. 14.  5.  5.]
-1,[0. 0. 0. 0. 9.]
1,[ 0.  0.  1. 26.  8.]
1,[0.  0.  0.  6.5 5. ]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 6. 2.]
1,[0. 0. 0. 6. 4.]
1,[0. 0. 0. 0. 0.]
1,[1. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 8. 4.]
1,[0. 0. 0. 0. 7.]
1,[ 0.  0.  1. 25.  2.]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 0. 0. 8.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  0.  0. 16.  4.]
1,[0. 0. 0. 0. 3.]
-1,[ 0.          1.         18.          4.66666667  8.        ]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 2.]
1,[0.         0.         0.         4.66666667 2.        ]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 1.]
-1,[0. 1. 5. 5. 6.]
1,[ 0.  0.  0. 15.  2.]
1,[0. 0. 0. 0. 0.]
-1,[ 0.  4. 28.  0. 11.]
1,[ 0.  0.  0. 15.  3.]
1,[0. 0. 0. 5. 1.]
1,[0.         1.         0.         4.66666667 7.        ]
1,[0. 1. 0. 0. 2.]
1,[0. 2. 0. 0. 2.]
1,[ 0.  0.  0. 14.  0.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  0.  0. 18. 10.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 1.]
1,[0. 1. 0. 7. 2.]
1,[0. 0. 0. 0. 4.]
1,[1. 1. 0. 0. 4.]
1,[0. 0. 0. 8. 8.]
1,[0.   0.   1.   3.75 3.  ]
1,[0. 0. 0. 7. 4.]
1,[0. 0. 0. 0. 1.]
-1,[ 0.  2. 17.  0.  6.]
1,[ 0.  1.  1. 23.  5.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 0.]
1,[ 0.  0.  0. 14.  1.]
-1,[ 0.          1.         24.          3.66666667  5.        ]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 5. 4.]
-1,[ 0.          1.         28.          2.33333333  6.        ]
1,[ 0.  1.  0. 20.  4.]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 0. 0. 2.]
-1,[0. 1. 3. 6. 5.]
1,[ 0.  0.  0. 23.  0.]
1,[ 0.  0.  0. 20.  4.]
1,[ 0.  0.  0. 10.  4.]
-1,[ 0.  1. 28.  3.  8.]
1,[0. 1. 0. 0. 4.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 6.]
1,[0. 0. 0. 9. 9.]
1,[0. 0. 0. 0. 0.]
-1,[0. 0. 0. 5. 0.]
1,[ 0.  1.  2.  0. 12.]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 8. 1.]
-1,[ 0.          3.         18.          5.33333333  5.        ]
1,[0. 0. 0. 0. 8.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 6.]
1,[0.  0.  0.  5.5 3. ]
1,[1.         1.         0.         3.16666667 9.        ]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 4. 0. 3.]
1,[0. 0. 1. 8. 4.]
1,[0. 1. 0. 0. 1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 3.]
1,[ 0.  0.  1. 24.  1.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 8.]
1,[0. 0. 0. 6. 2.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 2.]
-1,[ 0.  2. 13. 14.  7.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 4. 0.]
1,[0. 0. 0. 0. 5.]
1,[0. 2. 0. 5. 8.]
1,[ 0.          0.          0.          7.33333333 12.        ]
1,[ 1.  2. 23.  0. 12.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 2. 0. 0.]
1,[ 0.  0.  2. 26.  4.]
1,[0. 0. 0. 0. 9.]
1,[ 0.  0.  0. 15. 11.]
1,[0.  0.  0.  3.5 2. ]
1,[0. 0. 0. 0. 6.]
1,[0. 1. 0. 0. 2.]
1,[0. 0. 0. 0. 5.]
1,[0. 1. 1. 0. 2.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 4.]
-1,[ 0.   2.  22.   7.5  2. ]
1,[0. 0. 0. 0. 8.]
1,[0. 0. 0. 7. 6.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 0.]
-1,[ 0.          5.         13.          1.66666667  6.        ]
1,[0.         0.         3.         9.66666667 4.        ]
1,[ 0.  0.  0.  0. 10.]
1,[ 0.  0.  0. 19.  7.]
1,[0. 0. 0. 9. 0.]
1,[0. 0. 0. 8. 2.]
1,[0. 0. 0. 8. 6.]
1,[0. 0. 0. 9. 3.]
1,[0. 0. 0. 0. 4.]
1,[0. 2. 0. 0. 7.]
-1,[ 1.  2. 19. 10.  6.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 7. 7.]
1,[0. 0. 0. 0. 3.]
1,[ 0.  0.  0. 11.  9.]
-1,[ 0.  1. 22.  0.  4.]
1,[0. 0. 0. 0. 1.]
1,[0. 1. 0. 0. 0.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 4. 1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 7. 2.]
1,[0. 0. 0. 9. 2.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 1. 0. 1.]
1,[0.         0.         0.         2.71428571 6.        ]
1,[0. 0. 3. 0. 0.]
1,[ 0.  1.  0. 24. 10.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  0.  0.  0. 10.]
1,[ 0.   1.   0.   4.6 11. ]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 5. 1.]
1,[0. 0. 0. 0. 3.]
1,[0. 1. 1. 0. 3.]
-1,[ 0.  1. 17.  0.  3.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 2. 0. 6.]
-1,[ 0.          2.         10.          1.57142857  5.        ]
1,[0. 0. 1. 8. 2.]
-1,[ 0.    1.   11.    4.25  3.  ]
1,[0. 0. 1. 0. 1.]
1,[0. 0. 1. 0. 1.]
1,[ 0.  0.  0. 22.  3.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 3. 0. 6.]
1,[0. 1. 0. 4. 1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 3. 2. 2.]
1,[ 0.  1.  0. 16.  2.]
-1,[ 0.   3.  15.   0.5  7. ]
1,[0. 0. 0. 8. 4.]
1,[ 1.  0.  1. 30.  4.]
1,[0. 0. 0. 0. 5.]
-1,[1.         1.         5.         6.33333333 5.        ]
1,[ 0.  0.  0. 10.  1.]
1,[0. 0. 1. 0. 1.]
1,[0. 2. 0. 8. 2.]
1,[0. 0. 0. 0. 3.]
-1,[ 0.    2.   17.    3.25  3.  ]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 9. 1.]
-1,[ 0.          3.         18.          5.33333333  5.        ]
-1,[0. 1. 5. 4. 2.]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 6.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 1. 9. 3.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 3.]
1,[ 6.          0.          0.         16.18181818 21.        ]
1,[0. 0. 3. 4. 9.]
1,[0. 0. 0. 7. 1.]
1,[0. 0. 0. 3. 0.]
-1,[ 0.  1. 28. 10.  9.]
1,[0. 0. 0. 8. 5.]
-1,[ 0.  3. 24.  5.  2.]
1,[0. 1. 0. 0. 2.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 6.]
1,[0.  2.  0.  5.5 5. ]
1,[1. 1. 0. 0. 2.]
-1,[ 0.  1.  9. 16.  2.]
1,[ 0.  0.  0. 29.  6.]
1,[0. 0. 0. 6. 3.]
1,[ 0.  0.  0. 17.  4.]
1,[ 0.  0.  0. 16.  0.]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 0. 7. 6.]
1,[ 0.  0.  1. 11.  4.]
-1,[1. 0. 2. 0. 7.]
1,[0. 0. 0. 0. 1.]
1,[ 0.   0.   0.  11.5 13. ]
1,[ 0.  0.  0. 27.  0.]
1,[0.         0.         0.         6.33333333 6.        ]
1,[0. 0. 0. 5. 7.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 1. 0. 2.]
1,[0. 0. 0. 0. 0.]
1,[0.  0.  0.  6.5 2. ]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 5.]
-1,[ 0.  3. 27.  0.  4.]
1,[ 0.  1.  2. 15.  1.]
-1,[ 0.          2.         22.          6.33333333  5.        ]
1,[0. 0. 0. 0. 2.]
-1,[ 0.  2. 17. 23.  0.]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 1. 0. 3.]
-1,[ 1.          2.         15.          7.33333333  6.        ]
1,[0. 0. 0. 0. 3.]
1,[ 0.  0.  0. 10. 16.]
-1,[ 0.  1. 12. 14.  4.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 3.]
1,[0. 1. 0. 3. 1.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 1. 5. 8.]
1,[ 0.  0.  1. 11.  2.]
1,[0. 0. 0. 3. 0.]
-1,[ 1.  2. 12. 14.  4.]
1,[0. 0. 0. 3. 3.]
1,[0. 0. 0. 0. 2.]
1,[ 1.  0.  0. 15.  9.]
1,[0. 0. 0. 0. 3.]
-1,[ 0.   1.  16.   5.5 10. ]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 2.]
1,[ 0.  1.  1.  6. 13.]
-1,[ 0.  2. 16. 11.  3.]
1,[0. 0. 0. 2. 7.]
1,[0. 0. 0. 0. 4.]
1,[ 0.  0.  0. 12.  5.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 3.]
1,[0. 1. 0. 3. 1.]
1,[0. 0. 0. 0. 3.]
-1,[ 0.  0. 17. 21.  7.]
1,[ 0.  0.  0. 13.  2.]
1,[ 0.  0.  0. 17.  1.]
1,[0. 0. 0. 0. 6.]
1,[ 0.  0.  0. 24.  3.]
1,[0. 0. 0. 0. 6.]
1,[0. 0. 4. 0. 6.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 2. 1.]
-1,[ 0.  3. 25.  5.  4.]
1,[ 0.  0.  0.  6. 13.]
1,[0. 0. 0. 0. 2.]
1,[0. 1. 0. 9. 1.]
1,[0. 0. 0. 6. 0.]
1,[0. 1. 0. 7. 1.]
1,[0. 1. 0. 0. 4.]
1,[0.         1.         1.         8.33333333 4.        ]
1,[0. 0. 0. 0. 1.]
-1,[ 1.    0.    8.    5.25 10.  ]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 1. 0. 2.]
1,[ 0.  1.  2. 14.  6.]
1,[0. 0. 2. 6. 3.]
1,[0. 0. 0. 0. 2.]
1,[ 0.  0.  0. 13.  1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 4. 2.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  0.  0. 10.  6.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 7.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 3.]
1,[0.  0.  0.  4.5 0. ]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 2.]
1,[ 0.  0.  0. 26.  2.]
-1,[ 1.   1.  18.  10.5  7. ]
1,[0. 0. 0. 1. 6.]
-1,[ 0.  1. 12.  0.  1.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 8. 2.]
1,[0. 0. 1. 0. 5.]
1,[ 0.          0.          0.          7.66666667 25.        ]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 4. 0.]
1,[0. 0. 1. 0. 2.]
1,[0. 0. 0. 9. 2.]
-1,[ 0.   2.  19.   8.5  6. ]
1,[ 0.  0.  0. 22.  3.]
-1,[ 0.          2.         10.          6.33333333  8.        ]
1,[0. 0. 0. 8. 3.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 1. 0. 1.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 2.]
1,[ 0.   0.   0.  10.5  6. ]
1,[ 0.  2.  0. 13.  1.]
1,[0.  0.  0.  6.5 3. ]
-1,[ 0.  1. 12.  0.  2.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  0.  0. 11.  7.]
1,[0. 0. 1. 0. 5.]
-1,[ 0.          3.         14.          5.33333333  7.        ]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 0.]
-1,[ 0.  2. 20. 20.  3.]
1,[0. 0. 1. 0. 3.]
-1,[ 1.   1.  15.   3.6  3. ]
1,[0. 0. 0. 0. 1.]
-1,[ 1.  2. 21.  3.  5.]
1,[0. 0. 0. 6. 2.]
1,[ 0.  0.  0. 15.  7.]
1,[0. 0. 0. 0. 4.]
1,[0. 1. 1. 0. 1.]
1,[0. 0. 0. 6. 2.]
1,[0. 0. 3. 0. 8.]
1,[ 0.  0.  9.  0. 12.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 3.]
1,[0. 1. 1. 9. 3.]
1,[ 0.  0.  0. 10.  4.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 8. 4.]
1,[0. 1. 1. 5. 3.]
1,[0. 0. 0. 0. 0.]
1,[0.  1.  2.  8.5 5. ]
1,[0. 0. 0. 0. 3.]
1,[0.         0.         4.         0.03703704 7.        ]
1,[ 0.  1.  0. 10.  4.]
1,[0.  0.  0.  5.5 2. ]
-1,[ 0.  1. 11. 10.  0.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 6.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 4. 1.]
1,[ 0.  0.  0. 11.  1.]
1,[ 0.  0.  0. 12.  3.]
1,[0. 0. 0. 0. 7.]
-1,[ 0.  4. 27.  0.  7.]
1,[0. 0. 0. 0. 5.]
1,[0. 0. 0. 6. 0.]
1,[0. 0. 1. 0. 4.]
1,[ 0.  0.  2. 21.  3.]
1,[0. 1. 0. 0. 2.]
-1,[ 0.          3.         20.          2.16666667  2.        ]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 3.]
-1,[1. 1. 5. 4. 4.]
1,[ 0.  0.  0. 16.  3.]
1,[0. 0. 1. 0. 1.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 3. 0. 4.]
1,[ 0.  0.  2. 11.  4.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 8. 1.]
1,[ 0.  0.  0. 14. 15.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 3.]
1,[ 0.  0.  0. 27.  4.]
1,[0. 0. 0. 0. 1.]
1,[ 0.  0.  8.  0. 10.]
1,[0. 0. 2. 0. 6.]
1,[ 0.  0.  0. 14.  3.]
1,[ 0.  0.  0. 31.  3.]
1,[0. 0. 0. 0. 6.]
1,[0. 0. 0. 8. 2.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 8. 2.]
1,[0. 0. 1. 3. 3.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 2.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 7. 3.]
1,[0. 0. 3. 0. 3.]
1,[0. 1. 0. 9. 1.]
1,[0. 1. 0. 7. 2.]
1,[0. 0. 0. 0. 2.]
-1,[ 0.  1. 15.  0.  9.]
-1,[1. 0. 6. 0. 7.]
1,[0. 0. 0. 8. 3.]
1,[0. 0. 0. 0. 3.]
1,[ 0.  0.  0. 11.  6.]
1,[ 0.  0.  0. 17.  3.]
1,[0. 1. 1. 7. 3.]
1,[0. 0. 0. 0. 1.]
1,[0. 1. 1. 0. 3.]
1,[ 0.  0.  2. 12. 10.]
1,[0. 0. 0. 0. 1.]
-1,[ 0.  1.  2. 16.  5.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 8. 5.]
1,[0. 0. 0. 0. 5.]
1,[ 0.  0.  4. 14.  3.]
1,[ 0.  3.  1. 26.  4.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 2.]
-1,[ 0.  2. 11. 15.  5.]
1,[0. 0. 1. 0. 2.]
1,[ 0.  0.  0. 20.  1.]
1,[0. 0. 0. 5. 1.]
1,[0. 1. 0. 0. 0.]
1,[0. 0. 0. 6. 7.]
1,[ 0.  0.  0.  5. 10.]
1,[ 0.  0.  0. 13.  6.]
1,[ 0.  0.  0. 27.  9.]
1,[0. 0. 1. 0. 1.]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 9. 2.]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 1. 0. 2.]
1,[0. 0. 0. 6. 0.]
1,[0. 0. 0. 0. 4.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 0.]
1,[0.  0.  0.  7.5 1. ]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 3.]
-1,[ 1.  1. 21. 20.  6.]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 0. 0. 1.]
1,[1.  0.  1.  2.5 6. ]
1,[0. 0. 0. 0. 3.]
1,[0. 0. 1. 6. 6.]
1,[0. 0. 0. 0. 0.]
1,[ 0.  0.  0. 15.  0.]
1,[ 0.  0.  0. 26.  4.]
1,[0. 0. 1. 0. 3.]
1,[ 0.  0.  1.  0. 28.]
1,[0. 0. 0. 0. 0.]
1,[0. 1. 1. 9. 3.]
1,[0. 0. 0. 0. 1.]
1,[0. 1. 0. 0. 5.]
1,[ 0.   0.   0.  10.5  5. ]
-1,[ 0.  2. 23.  1.  3.]
1,[0. 0. 2. 0. 1.]
1,[ 0.  0.  0. 20.  2.]
1,[0. 0. 0. 6. 4.]
1,[0. 0. 0. 0. 1.]
1,[0. 0. 0. 0. 2.]
1,[ 0.  0.  0. 17.  1.]
1,[ 0.  0.  5.  0. 18.]
-1,[ 0.  3. 25.  0. 11.]
-1,[ 1.   1.  31.   1.6 11. ]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 0.]
-1,[ 0.  2. 17.  0.  6.]
1,[0. 0. 0. 0. 3.]
-1,[ 0.          3.         14.          5.33333333  7.        ]
1,[0. 0. 0. 0. 0.]
1,[ 0.  0.  0.  0. 11.]
1,[0. 0. 0. 0. 0.]
1,[0. 0. 0. 0. 9.]
1,[ 0.          0.          1.         17.33333333 37.        ]
1,[ 0.  0.  0. 22.  3.]
1,[0. 0. 1. 0. 1.]
1,[0. 0. 1. 0. 3.]
